#LIBRARY    ENDF/B-VIII.1
#REACTION   AU-197(N,G)AU-198,SIG
#NUCLEUS    Au-197
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     3e+07
#E,eV        Sig,b        Interpolation
 1E-05       4917.54      Lin-Lin
 1.10304E-05 4682.23      Lin-Lin
 1.21669E-05 4458.19      Lin-Lin
 1.34206E-05 4244.86      Lin-Lin
 1.48034E-05 4041.74      Lin-Lin
 1.63286E-05 3848.34      Lin-Lin
 1.80111E-05 3664.2       Lin-Lin
 1.98669E-05 3488.87      Lin-Lin
 2.19139E-05 3321.92      Lin-Lin
 2.41719E-05 3162.97      Lin-Lin
 2.66625E-05 3011.62      Lin-Lin
 2.94097E-05 2867.51      Lin-Lin
 3.244E-05   2730.3       Lin-Lin
 3.57825E-05 2599.66      Lin-Lin
 3.94694E-05 2475.27      Lin-Lin
 4.35362E-05 2356.83      Lin-Lin
 4.80221E-05 2244.05      Lin-Lin
 5.29701E-05 2136.68      Lin-Lin
 5.8428E-05  2034.44      Lin-Lin
 6.44482E-05 1937.09      Lin-Lin
 7.10888E-05 1844.41      Lin-Lin
 7.84136E-05 1756.16      Lin-Lin
 8.64931E-05 1672.13      Lin-Lin
 9.54051E-05 1592.12      Lin-Lin
 0.000105235 1515.94      Lin-Lin
 0.000116078 1443.41      Lin-Lin
 0.000128039 1374.35      Lin-Lin
 0.000141232 1308.59      Lin-Lin
 0.000155784 1245.98      Lin-Lin
 0.000171835 1186.36      Lin-Lin
 0.00018954  1129.6       Lin-Lin
 0.00020907  1075.56      Lin-Lin
 0.000230612 1024.1       Lin-Lin
 0.000254374 975.104      Lin-Lin
 0.000280584 928.453      Lin-Lin
 0.000309494 884.035      Lin-Lin
 0.000341383 841.743      Lin-Lin
 0.000376558 801.475      Lin-Lin
 0.000415358 763.135      Lin-Lin
 0.000458155 726.629      Lin-Lin
 0.000505362 691.871      Lin-Lin
 0.000557433 658.777      Lin-Lin
 0.000614869 627.267      Lin-Lin
 0.000678223 597.266      Lin-Lin
 0.000748105 568.701      Lin-Lin
 0.000825188 541.503      Lin-Lin
 0.000910213 515.608      Lin-Lin
 0.001004    490.952      Lin-Lin
 0.00110745  467.478      Lin-Lin
 0.00122155  445.127      Lin-Lin
 0.00134742  423.847      Lin-Lin
 0.00148625  403.586      Lin-Lin
 0.00163939  384.295      Lin-Lin
 0.00180831  365.929      Lin-Lin
 0.00199463  348.443      Lin-Lin
 0.00220016  331.795      Lin-Lin
 0.00242685  315.944      Lin-Lin
 0.00267691  300.854      Lin-Lin
 0.00295273  286.487      Lin-Lin
 0.00325697  272.81       Lin-Lin
 0.00359256  259.789      Lin-Lin
 0.00396272  247.394      Lin-Lin
 0.00437103  235.594      Lin-Lin
 0.00482141  224.362      Lin-Lin
 0.00531819  213.67       Lin-Lin
 0.00586616  203.491      Lin-Lin
 0.00647059  193.8        Lin-Lin
 0.0071373   184.573      Lin-Lin
 0.00787271  175.789      Lin-Lin
 0.00868389  167.428      Lin-Lin
 0.00957865  159.469      Lin-Lin
 0.0105656   151.893      Lin-Lin
 0.0116543   144.683      Lin-Lin
 0.0128551   137.82       Lin-Lin
 0.0141796   131.289      Lin-Lin
 0.0156406   125.074      Lin-Lin
 0.0172522   119.16       Lin-Lin
 0.0190298   113.532      Lin-Lin
 0.0209906   108.177      Lin-Lin
 0.0231534   103.082      Lin-Lin
 0.0252419   98.8015      Lin-Lin
 0.0253      98.69        Lin-Lin
 0.0279068   94.0583      Lin-Lin
 0.0307823   89.6529      Lin-Lin
 0.033954    85.4629      Lin-Lin
 0.0374525   81.4786      Lin-Lin
 0.0413115   77.6905      Lin-Lin
 0.0455681   74.0895      Lin-Lin
 0.0502633   70.6671      Lin-Lin
 0.0554423   67.4149      Lin-Lin
 0.0611549   64.3254      Lin-Lin
 0.0674561   61.3911      Lin-Lin
 0.0749314   58.4108      Lin-Lin
 0.0832311   55.594       Lin-Lin
 0.0924546   52.9305      Lin-Lin
 0.102695    50.4154      Lin-Lin
 0.114076    48.0397      Lin-Lin
 0.126711    45.7994      Lin-Lin
 0.140753    43.6865      Lin-Lin
 0.156343    41.6975      Lin-Lin
 0.173669    39.8254      Lin-Lin
 0.192905    38.0673      Lin-Lin
 0.214282    36.4174      Lin-Lin
 0.238017    34.8734      Lin-Lin
 0.264393    33.4305      Lin-Lin
 0.293678    32.0871      Lin-Lin
 0.326223    30.8396      Lin-Lin
 0.362357    29.6875      Lin-Lin
 0.405332    28.5613      Lin-Lin
 0.453404    27.541       Lin-Lin
 0.507177    26.627       Lin-Lin
 0.567328    25.8214      Lin-Lin
 0.634612    25.1281      Lin-Lin
 0.709876    24.5527      Lin-Lin
 0.794067    24.1044      Lin-Lin
 0.888242    23.7954      Lin-Lin
 0.993586    23.6436      Lin-Lin
 1.03263     23.6326      Lin-Lin
 1.14822     23.7238      Lin-Lin
 1.26653     23.9946      Lin-Lin
 1.38731     24.4401      Lin-Lin
 1.51954     25.1178      Lin-Lin
 1.64129     25.9208      Lin-Lin
 1.77271     26.9854      Lin-Lin
 1.88811     28.1021      Lin-Lin
 2.01093     29.5051      Lin-Lin
 2.12684     31.0499      Lin-Lin
 2.23378     32.697       Lin-Lin
 2.32966     34.3783      Lin-Lin
 2.42966     36.3668      Lin-Lin
 2.5162      38.3075      Lin-Lin
 2.60596     40.5734      Lin-Lin
 2.69878     43.2259      Lin-Lin
 2.77547     45.6932      Lin-Lin
 2.85433     48.532       Lin-Lin
 2.91502     50.9536      Lin-Lin
 2.97685     53.6643      Lin-Lin
 3.04015     56.7238      Lin-Lin
 3.10463     60.177       Lin-Lin
 3.17064     64.113       Lin-Lin
 3.2379      68.6161      Lin-Lin
 3.28358     71.9962      Lin-Lin
 3.3299      75.7269      Lin-Lin
 3.37688     79.8645      Lin-Lin
 3.42452     84.4619      Lin-Lin
 3.47284     89.595       Lin-Lin
 3.52183     95.3514      Lin-Lin
 3.57152     101.841      Lin-Lin
 3.62191     109.203      Lin-Lin
 3.66023     115.403      Lin-Lin
 3.69892     122.262      Lin-Lin
 3.73796     129.872      Lin-Lin
 3.77738     138.353      Lin-Lin
 3.81735     147.917      Lin-Lin
 3.85769     158.695      Lin-Lin
 3.89841     170.887      Lin-Lin
 3.92582     179.955      Lin-Lin
 3.95341     189.886      Lin-Lin
 3.9812      200.791      Lin-Lin
 4.00919     212.806      Lin-Lin
 4.03737     226.086      Lin-Lin
 4.06575     240.821      Lin-Lin
 4.09433     257.238      Lin-Lin
 4.12311     275.609      Lin-Lin
 4.14485     290.88       Lin-Lin
 4.16659     307.51       Lin-Lin
 4.18863     325.933      Lin-Lin
 4.21067     346.128      Lin-Lin
 4.23282     368.44       Lin-Lin
 4.25518     393.301      Lin-Lin
 4.27753     420.851      Lin-Lin
 4.3001      451.799      Lin-Lin
 4.32277     486.564      Lin-Lin
 4.33788     512.08       Lin-Lin
 4.3531      539.908      Lin-Lin
 4.36842     570.343      Lin-Lin
 4.38375     603.486      Lin-Lin
 4.39908     639.674      Lin-Lin
 4.41451     679.591      Lin-Lin
 4.43006     723.779      Lin-Lin
 4.4456      772.519      Lin-Lin
 4.46114     826.455      Lin-Lin
 4.47606     883.809      Lin-Lin
 4.49035     944.641      Lin-Lin
 4.50464     1012.08      Lin-Lin
 4.51893     1087.12      Lin-Lin
 4.53289     1168.92      Lin-Lin
 4.54312     1234.92      Lin-Lin
 4.55335     1306.73      Lin-Lin
 4.56357     1385.06      Lin-Lin
 4.5738      1470.72      Lin-Lin
 4.58403     1564.65      Lin-Lin
 4.59425     1667.93      Lin-Lin
 4.60448     1781.85      Lin-Lin
 4.61471     1907.9       Lin-Lin
 4.62493     2047.85      Lin-Lin
 4.63516     2203.8       Lin-Lin
 4.64539     2378.22      Lin-Lin
 4.65221     2506.22      Lin-Lin
 4.65902     2644.76      Lin-Lin
 4.66584     2795.02      Lin-Lin
 4.67266     2958.3       Lin-Lin
 4.67948     3136.11      Lin-Lin
 4.6863      3330.15      Lin-Lin
 4.69243     3520.26      Lin-Lin
 4.70061     3799.45      Lin-Lin
 4.70607     4003.85      Lin-Lin
 4.71152     4224.56      Lin-Lin
 4.71698     4463.22      Lin-Lin
 4.72243     4721.64      Lin-Lin
 4.72789     5001.83      Lin-Lin
 4.73334     5305.97      Lin-Lin
 4.74016     5723.52      Lin-Lin
 4.74527     6066.79      Lin-Lin
 4.75039     6438.46      Lin-Lin
 4.7555      6841.02      Lin-Lin
 4.76061     7277.07      Lin-Lin
 4.76684     7857.63      Lin-Lin
 4.77308     8496.74      Lin-Lin
 4.77931     9199.08      Lin-Lin
 4.78554     9968.89      Lin-Lin
 4.79058     10643.4      Lin-Lin
 4.79562     11365.6      Lin-Lin
 4.80235     12403.5      Lin-Lin
 4.80907     13525.8      Lin-Lin
 4.81584     14736.4      Lin-Lin
 4.82266     16027.4      Lin-Lin
 4.83288     18064.5      Lin-Lin
 4.84788     21116.3      Lin-Lin
 4.85606     22705.6      Lin-Lin
 4.86425     24157.3      Lin-Lin
 4.87038     25113.8      Lin-Lin
 4.87536     25784.9      Lin-Lin
 4.88123     26435        Lin-Lin
 4.8871      26914.8      Lin-Lin
 4.89297     27209.7      Lin-Lin
