#LIBRARY    IRDF-2002G
#REACTION   AL-27(N,A)NA-24,SIG
#NUCLEUS    Al-27
#MF         3
#MT         107
#EN-MIN     3.2e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 3.2E+06     0            Lin-Lin
 3.2E+06     1.42951E-08  Lin-Lin
 3.3E+06     1.42951E-08  Lin-Lin
 3.3E+06     1.14142E-07  Lin-Lin
 3.4E+06     1.14142E-07  Lin-Lin
 3.4E+06     2.2821E-07   Lin-Lin
 3.5E+06     2.2821E-07   Lin-Lin
 3.5E+06     3.42279E-07  Lin-Lin
 3.6E+06     3.42279E-07  Lin-Lin
 3.6E+06     4.56348E-07  Lin-Lin
 3.7E+06     4.56348E-07  Lin-Lin
 3.7E+06     5.70416E-07  Lin-Lin
 3.8E+06     5.70416E-07  Lin-Lin
 3.8E+06     6.84485E-07  Lin-Lin
 3.9E+06     6.84485E-07  Lin-Lin
 3.9E+06     7.98554E-07  Lin-Lin
 4E+06       7.98554E-07  Lin-Lin
 4E+06       9.12622E-07  Lin-Lin
 4.1E+06     9.12622E-07  Lin-Lin
 4.1E+06     1.02669E-06  Lin-Lin
 4.2E+06     1.02669E-06  Lin-Lin
 4.2E+06     1.14076E-06  Lin-Lin
 4.3E+06     1.14076E-06  Lin-Lin
 4.3E+06     1.25483E-06  Lin-Lin
 4.4E+06     1.25483E-06  Lin-Lin
 4.4E+06     1.3689E-06   Lin-Lin
 4.5E+06     1.3689E-06   Lin-Lin
 4.5E+06     1.48297E-06  Lin-Lin
 4.6E+06     1.48297E-06  Lin-Lin
 4.6E+06     2.9225E-06   Lin-Lin
 4.7E+06     2.9225E-06   Lin-Lin
 4.7E+06     5.6875E-06   Lin-Lin
 4.8E+06     5.6875E-06   Lin-Lin
 4.8E+06     8.4525E-06   Lin-Lin
 4.9E+06     8.4525E-06   Lin-Lin
 4.9E+06     1.12175E-05  Lin-Lin
 5E+06       1.12175E-05  Lin-Lin
 5E+06       1.795E-05    Lin-Lin
 5.1E+06     1.795E-05    Lin-Lin
 5.1E+06     2.865E-05    Lin-Lin
 5.2E+06     2.865E-05    Lin-Lin
 5.2E+06     5.45634E-05  Lin-Lin
 5.3E+06     5.45634E-05  Lin-Lin
 5.3E+06     9.56901E-05  Lin-Lin
 5.4E+06     9.56901E-05  Lin-Lin
 5.4E+06     0.000136817  Lin-Lin
 5.5E+06     0.000136817  Lin-Lin
 5.5E+06     0.000204155  Lin-Lin
 5.6E+06     0.000204155  Lin-Lin
 5.6E+06     0.000465     Lin-Lin
 5.7E+06     0.000465     Lin-Lin
 5.7E+06     0.000765     Lin-Lin
 5.8E+06     0.000765     Lin-Lin
 5.8E+06     0.00105859   Lin-Lin
 5.9E+06     0.00105859   Lin-Lin
 5.9E+06     0.0013049    Lin-Lin
 6E+06       0.0013049    Lin-Lin
 6E+06       0.00154163   Lin-Lin
 6.1E+06     0.00154163   Lin-Lin
 6.1E+06     0.0021375    Lin-Lin
 6.2E+06     0.0021375    Lin-Lin
 6.2E+06     0.0030925    Lin-Lin
 6.3E+06     0.0030925    Lin-Lin
 6.3E+06     0.0042475    Lin-Lin
 6.4E+06     0.0042475    Lin-Lin
 6.4E+06     0.0056025    Lin-Lin
 6.5E+06     0.0056025    Lin-Lin
 6.5E+06     0.00708      Lin-Lin
 6.6E+06     0.00708      Lin-Lin
 6.6E+06     0.00868      Lin-Lin
 6.7E+06     0.00868      Lin-Lin
 6.7E+06     0.0107375    Lin-Lin
 6.8E+06     0.0107375    Lin-Lin
 6.8E+06     0.0132525    Lin-Lin
 6.9E+06     0.0132525    Lin-Lin
 6.9E+06     0.0158167    Lin-Lin
 7E+06       0.0158167    Lin-Lin
 7E+06       0.01843      Lin-Lin
 7.1E+06     0.01843      Lin-Lin
 7.1E+06     0.0207212    Lin-Lin
 7.2E+06     0.0207212    Lin-Lin
 7.2E+06     0.022225     Lin-Lin
 7.3E+06     0.022225     Lin-Lin
 7.3E+06     0.0237352    Lin-Lin
 7.4E+06     0.0237352    Lin-Lin
 7.4E+06     0.026175     Lin-Lin
 7.5E+06     0.026175     Lin-Lin
 7.5E+06     0.028995     Lin-Lin
 7.6E+06     0.028995     Lin-Lin
 7.6E+06     0.0319331    Lin-Lin
 7.7E+06     0.0319331    Lin-Lin
 7.7E+06     0.03516      Lin-Lin
 7.8E+06     0.03516      Lin-Lin
 7.8E+06     0.0383473    Lin-Lin
 7.9E+06     0.0383473    Lin-Lin
 7.9E+06     0.040374     Lin-Lin
 8E+06       0.040374     Lin-Lin
 8E+06       0.041926     Lin-Lin
 8.1E+06     0.041926     Lin-Lin
 8.1E+06     0.0438582    Lin-Lin
 8.2E+06     0.0438582    Lin-Lin
 8.2E+06     0.04672      Lin-Lin
 8.3E+06     0.04672      Lin-Lin
 8.3E+06     0.0496724    Lin-Lin
 8.4E+06     0.0496724    Lin-Lin
 8.4E+06     0.053689     Lin-Lin
 8.5E+06     0.053689     Lin-Lin
 8.5E+06     0.058141     Lin-Lin
 8.6E+06     0.058141     Lin-Lin
 8.6E+06     0.0619776    Lin-Lin
 8.7E+06     0.0619776    Lin-Lin
 8.7E+06     0.06431      Lin-Lin
 8.8E+06     0.06431      Lin-Lin
 8.8E+06     0.0665962    Lin-Lin
 8.9E+06     0.0665962    Lin-Lin
 8.9E+06     0.06937      Lin-Lin
 9E+06       0.06937      Lin-Lin
 9E+06       0.0723433    Lin-Lin
 9.1E+06     0.0723433    Lin-Lin
 9.1E+06     0.0753167    Lin-Lin
 9.2E+06     0.0753167    Lin-Lin
 9.2E+06     0.0781278    Lin-Lin
 9.3E+06     0.0781278    Lin-Lin
 9.3E+06     0.079966     Lin-Lin
 9.4E+06     0.079966     Lin-Lin
 9.4E+06     0.081642     Lin-Lin
 9.5E+06     0.081642     Lin-Lin
 9.5E+06     0.083318     Lin-Lin
 9.6E+06     0.083318     Lin-Lin
 9.6E+06     0.084994     Lin-Lin
 9.7E+06     0.084994     Lin-Lin
 9.7E+06     0.0865785    Lin-Lin
 9.8E+06     0.0865785    Lin-Lin
 9.8E+06     0.087614     Lin-Lin
 9.9E+06     0.087614     Lin-Lin
 9.9E+06     0.088558     Lin-Lin
 1E+07       0.088558     Lin-Lin
 1E+07       0.089502     Lin-Lin
 1.01E+07    0.089502     Lin-Lin
 1.01E+07    0.090446     Lin-Lin
 1.02E+07    0.090446     Lin-Lin
 1.02E+07    0.0915755    Lin-Lin
 1.03E+07    0.0915755    Lin-Lin
 1.03E+07    0.093818     Lin-Lin
