#LIBRARY    ENDF/B-VIII.1
#REACTION   CO-59(N,G)CO-60,SIG
#NUCLEUS    Co-59
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       1869.15      Lin-Lin
 1.10304E-05 1779.71      Lin-Lin
 1.21669E-05 1694.55      Lin-Lin
 1.34206E-05 1613.46      Lin-Lin
 1.48034E-05 1536.26      Lin-Lin
 1.63286E-05 1462.75      Lin-Lin
 1.80111E-05 1392.75      Lin-Lin
 1.98669E-05 1326.11      Lin-Lin
 2.19139E-05 1262.65      Lin-Lin
 2.41719E-05 1202.23      Lin-Lin
 2.66625E-05 1144.71      Lin-Lin
 2.94097E-05 1089.93      Lin-Lin
 3.244E-05   1037.78      Lin-Lin
 3.57825E-05 988.118      Lin-Lin
 3.94694E-05 940.836      Lin-Lin
 4.35362E-05 895.816      Lin-Lin
 4.80221E-05 852.95       Lin-Lin
 5.29701E-05 812.136      Lin-Lin
 5.8428E-05  773.275      Lin-Lin
 6.44482E-05 736.273      Lin-Lin
 7.10888E-05 701.042      Lin-Lin
 7.84136E-05 667.496      Lin-Lin
 8.64931E-05 635.556      Lin-Lin
 9.54051E-05 605.144      Lin-Lin
 0.000105235 576.188      Lin-Lin
 0.000116078 548.617      Lin-Lin
 0.000128039 522.365      Lin-Lin
 0.000141232 497.369      Lin-Lin
 0.000155784 473.57       Lin-Lin
 0.000171835 450.909      Lin-Lin
 0.00018954  429.333      Lin-Lin
 0.00020907  408.789      Lin-Lin
 0.000230612 389.228      Lin-Lin
 0.000254374 370.603      Lin-Lin
 0.000280584 352.87       Lin-Lin
 0.000309494 335.985      Lin-Lin
 0.000341383 319.908      Lin-Lin
 0.000376558 304.6        Lin-Lin
 0.000415358 290.025      Lin-Lin
 0.000458155 276.147      Lin-Lin
 0.000505362 262.933      Lin-Lin
 0.000557433 250.352      Lin-Lin
 0.000614869 238.372      Lin-Lin
 0.000678223 226.966      Lin-Lin
 0.000748105 216.106      Lin-Lin
 0.000825188 205.765      Lin-Lin
 0.000910213 195.919      Lin-Lin
 0.001004    186.545      Lin-Lin
 0.00110745  177.618      Lin-Lin
 0.00122155  169.12       Lin-Lin
 0.00134742  161.027      Lin-Lin
 0.00148625  153.322      Lin-Lin
 0.00163939  145.986      Lin-Lin
 0.00180831  139.001      Lin-Lin
 0.00199463  132.35       Lin-Lin
 0.00220016  126.017      Lin-Lin
 0.00242685  119.987      Lin-Lin
 0.00267691  114.246      Lin-Lin
 0.00295273  108.78       Lin-Lin
 0.00325697  103.575      Lin-Lin
 0.00359256  98.6189      Lin-Lin
 0.00396272  93.9004      Lin-Lin
 0.00437103  89.4076      Lin-Lin
 0.00482141  85.1298      Lin-Lin
 0.00531819  81.0567      Lin-Lin
 0.00586616  77.1786      Lin-Lin
 0.00647059  73.486       Lin-Lin
 0.0071373   69.9702      Lin-Lin
 0.00787271  66.6227      Lin-Lin
 0.00868389  63.4354      Lin-Lin
 0.00957865  60.4006      Lin-Lin
 0.0105656   57.5112      Lin-Lin
 0.0116543   54.7603      Lin-Lin
 0.0128551   52.1412      Lin-Lin
 0.0141796   49.6476      Lin-Lin
 0.0156406   47.2737      Lin-Lin
 0.0172522   45.0134      Lin-Lin
 0.0190298   42.8612      Lin-Lin
 0.0209906   40.8118      Lin-Lin
 0.0231534   38.8603      Lin-Lin
 0.0252419   37.219       Lin-Lin
 0.0253      37.1762      Lin-Lin
 0.0279068   35.3986      Lin-Lin
