#LIBRARY    INDEN-Aug2023
#REACTION   CU-63(N,G)CU-64,SIG
#NUCLEUS    Cu-63
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       224.828      Lin-Lin
 1.10304E-05 214.07       Lin-Lin
 1.21669E-05 203.827      Lin-Lin
 1.34206E-05 194.073      Lin-Lin
 1.48034E-05 184.787      Lin-Lin
 1.63286E-05 175.944      Lin-Lin
 1.80111E-05 167.525      Lin-Lin
 1.98669E-05 159.509      Lin-Lin
 2.19139E-05 151.876      Lin-Lin
 2.41719E-05 144.609      Lin-Lin
 2.66625E-05 137.689      Lin-Lin
 2.94097E-05 131.101      Lin-Lin
 3.244E-05   124.828      Lin-Lin
 3.57825E-05 118.854      Lin-Lin
 3.94694E-05 113.167      Lin-Lin
 4.35362E-05 107.752      Lin-Lin
 4.80221E-05 102.596      Lin-Lin
 5.29701E-05 97.6866      Lin-Lin
 5.8428E-05  93.0123      Lin-Lin
 6.44482E-05 88.5615      Lin-Lin
 7.10888E-05 84.3238      Lin-Lin
 7.84136E-05 80.2888      Lin-Lin
 8.64931E-05 76.4469      Lin-Lin
 9.54051E-05 72.7889      Lin-Lin
 0.000105235 69.3058      Lin-Lin
 0.000116078 65.9895      Lin-Lin
 0.000128039 62.8318      Lin-Lin
 0.000141232 59.8253      Lin-Lin
 0.000155784 56.9626      Lin-Lin
 0.000171835 54.2369      Lin-Lin
 0.00018954  51.6416      Lin-Lin
 0.00020907  49.1705      Lin-Lin
 0.000230612 46.8176      Lin-Lin
 0.000254374 44.5773      Lin-Lin
 0.000280584 42.4443      Lin-Lin
 0.000309494 40.4133      Lin-Lin
 0.000341383 38.4794      Lin-Lin
 0.000376558 36.6382      Lin-Lin
 0.000415358 34.885       Lin-Lin
 0.000458155 33.2157      Lin-Lin
 0.000505362 31.6263      Lin-Lin
 0.000557433 30.1129      Lin-Lin
 0.000614869 28.672       Lin-Lin
 0.000678223 27.3         Lin-Lin
 0.000748105 25.9937      Lin-Lin
 0.000825188 24.7498      Lin-Lin
 0.000910213 23.5655      Lin-Lin
 0.001004    22.4379      Lin-Lin
 0.00110745  21.3642      Lin-Lin
 0.00122155  20.3419      Lin-Lin
 0.00134742  19.3685      Lin-Lin
 0.00148625  18.4417      Lin-Lin
 0.00163939  17.5592      Lin-Lin
 0.00180831  16.719       Lin-Lin
 0.00199463  15.9189      Lin-Lin
 0.00220016  15.1572      Lin-Lin
 0.00242685  14.4319      Lin-Lin
 0.00267691  13.7413      Lin-Lin
 0.00295273  13.0837      Lin-Lin
 0.00325697  12.4576      Lin-Lin
 0.00359256  11.8615      Lin-Lin
 0.00396272  11.2939      Lin-Lin
 0.00437103  10.7534      Lin-Lin
 0.00482141  10.2388      Lin-Lin
 0.00531819  9.74885      Lin-Lin
 0.00586616  9.28233      Lin-Lin
 0.00647059  8.83812      Lin-Lin
 0.0071373   8.41518      Lin-Lin
 0.00787271  8.01247      Lin-Lin
 0.00868389  7.62903      Lin-Lin
 0.00957865  7.26394      Lin-Lin
 0.0105656   6.91634      Lin-Lin
 0.0116543   6.58538      Lin-Lin
 0.0128551   6.27029      Lin-Lin
 0.0141796   5.9703       Lin-Lin
 0.0156406   5.68468      Lin-Lin
 0.0172522   5.41272      Lin-Lin
 0.0190298   5.15375      Lin-Lin
 0.0209906   4.90713      Lin-Lin
 0.0231534   4.67228      Lin-Lin
 0.0252419   4.47477      Lin-Lin
 0.0253      4.46962      Lin-Lin
 0.0279068   4.2557       Lin-Lin
 0.0307823   4.05199      Lin-Lin
 0.033954    3.85802      Lin-Lin
 0.0374525   3.67333      Lin-Lin
 0.0413115   3.49747      Lin-Lin
 0.0455681   3.33002      Lin-Lin
 0.0502633   3.17057      Lin-Lin
 0.0554423   3.01875      Lin-Lin
 0.0611549   2.87419      Lin-Lin
 0.0674561   2.73654      Lin-Lin
 0.0744066   2.60548      Lin-Lin
 0.0820732   2.48067      Lin-Lin
 0.0905297   2.36184      Lin-Lin
 0.0998577   2.24868      Lin-Lin
 0.110147    2.14093      Lin-Lin
 0.121496    2.03833      Lin-Lin
 0.134014    1.94063      Lin-Lin
 0.147823    1.8476       Lin-Lin
 0.163054    1.75901      Lin-Lin
 0.179855    1.67465      Lin-Lin
 0.198386    1.59432      Lin-Lin
 0.218827    1.51783      Lin-Lin
 0.241375    1.44498      Lin-Lin
 0.266245    1.37561      Lin-Lin
 0.293678    1.30954      Lin-Lin
 0.323938    1.24663      Lin-Lin
 0.357316    1.18671      Lin-Lin
 0.394132    1.12965      Lin-Lin
 0.434743    1.0753       Lin-Lin
 0.479537    1.02354      Lin-Lin
 0.528947    0.974239     Lin-Lin
 0.583448    0.927283     Lin-Lin
