#LIBRARY    ENDF/B-VIII.1
#REACTION   FE-54(N,P)MN-54,SIG
#NUCLEUS    Fe-54
#MF         3
#MT         103
#EN-MIN     700000
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 700000      0            Lin-Lin
 700528      3.03697E-08  Lin-Lin
 701056      6.07538E-08  Lin-Lin
 702112      1.21713E-07  Lin-Lin
 704225      2.44223E-07  Lin-Lin
 705973      3.44887E-07  Lin-Lin
 705973      3.44916E-07  Lin-Lin
 705975      3.4502E-07   Lin-Lin
 705976      3.45043E-07  Lin-Lin
 711950      6.90747E-07  Lin-Lin
 714208      8.20964E-07  Lin-Lin
 720092      1.16061E-06  Lin-Lin
 720093      1.16069E-06  Lin-Lin
 728422      1.64252E-06  Lin-Lin
 733800      1.95398E-06  Lin-Lin
 740196      2.32274E-06  Lin-Lin
 747801      2.76183E-06  Lin-Lin
 756845      3.28486E-06  Lin-Lin
 767600      3.90791E-06  Lin-Lin
 767601      3.90791E-06  Lin-Lin
 767818      3.92038E-06  Lin-Lin
 768035      3.93285E-06  Lin-Lin
 768470      3.9578E-06   Lin-Lin
 768828      3.9784E-06   Lin-Lin
 769338      4.00771E-06  Lin-Lin
 770054      4.0488E-06   Lin-Lin
 770519      4.07554E-06  Lin-Lin
 771076      4.10758E-06  Lin-Lin
 771724      4.14478E-06  Lin-Lin
 772499      4.18934E-06  Lin-Lin
 773430      4.2429E-06   Lin-Lin
 774552      4.30752E-06  Lin-Lin
 775926      4.38662E-06  Lin-Lin
 777603      4.48322E-06  Lin-Lin
 778580      4.5395E-06   Lin-Lin
 779664      4.60205E-06  Lin-Lin
 780872      4.67171E-06  Lin-Lin
 782220      4.74951E-06  Lin-Lin
 783930      4.84843E-06  Lin-Lin
 785879      4.9612E-06   Lin-Lin
 788110      5.09036E-06  Lin-Lin
 790675      5.23904E-06  Lin-Lin
 792655      5.35392E-06  Lin-Lin
 794847      5.48123E-06  Lin-Lin
 797283      5.62282E-06  Lin-Lin
 800000      5.78088E-06  Lin-Lin
 801902      5.9102E-06   Lin-Lin
 803958      6.05E-06     Lin-Lin
 806183      6.20149E-06  Lin-Lin
 808598      6.3661E-06   Lin-Lin
 812992      6.66576E-06  Lin-Lin
 815436      6.83271E-06  Lin-Lin
 818070      7.01277E-06  Lin-Lin
 822938      7.34582E-06  Lin-Lin
 825625      7.52996E-06  Lin-Lin
 828505      7.72746E-06  Lin-Lin
 833890      8.09539E-06  Lin-Lin
 840000      8.51362E-06  Lin-Lin
 842198      9.1583E-06   Lin-Lin
 844630      9.87266E-06  Lin-Lin
 847176      1.06207E-05  Lin-Lin
 850000      1.14515E-05  Lin-Lin
 852207      1.23002E-05  Lin-Lin
 854638      1.32356E-05  Lin-Lin
 857187      1.42171E-05  Lin-Lin
 860000      1.53013E-05  Lin-Lin
 862177      1.63373E-05  Lin-Lin
 864552      1.7468E-05   Lin-Lin
 864656      1.75178E-05  Lin-Lin
 864658      1.75186E-05  Lin-Lin
 867149      1.87086E-05  Lin-Lin
 870000      2.0072E-05   Lin-Lin
 872204      2.13241E-05  Lin-Lin
 874590      2.26809E-05  Lin-Lin
 874683      2.27339E-05  Lin-Lin
 874685      2.27348E-05  Lin-Lin
 877180      2.41581E-05  Lin-Lin
 880000      2.5768E-05   Lin-Lin
 882229      2.72429E-05  Lin-Lin
 884626      2.88304E-05  Lin-Lin
 887209      3.0543E-05   Lin-Lin
 890000      3.2395E-05   Lin-Lin
 894657      3.5914E-05   Lin-Lin
 897234      3.78637E-05  Lin-Lin
 900000      3.99579E-05  Lin-Lin
 904685      4.39402E-05  Lin-Lin
 910000      4.84657E-05  Lin-Lin
 914709      5.29154E-05  Lin-Lin
 920000      5.79227E-05  Lin-Lin
 924731      6.28443E-05  Lin-Lin
 930000      6.83353E-05  Lin-Lin
 934749      7.37321E-05  Lin-Lin
 940000      7.97084E-05  Lin-Lin
 941503      8.15485E-05  Lin-Lin
 941635      8.17123E-05  Lin-Lin
 941768      8.18761E-05  Lin-Lin
 942034      8.22039E-05  Lin-Lin
 942253      8.24748E-05  Lin-Lin
 942565      8.28593E-05  Lin-Lin
 943003      8.34001E-05  Lin-Lin
 943627      8.41704E-05  Lin-Lin
 944500      8.52481E-05  Lin-Lin
 945069      8.59504E-05  Lin-Lin
 945585      8.65881E-05  Lin-Lin
 945751      8.67938E-05  Lin-Lin
 946539      8.77682E-05  Lin-Lin
 947484      8.89371E-05  Lin-Lin
 948622      9.03455E-05  Lin-Lin
 950000      9.20509E-05  Lin-Lin
 950825      9.31476E-05  Lin-Lin
 951740      9.4365E-05   Lin-Lin
 952759      9.57195E-05  Lin-Lin
 953895      9.723E-05    Lin-Lin
 954782      9.84105E-05  Lin-Lin
 955164      9.89202E-05  Lin-Lin
 956588      0.000100818  Lin-Lin
 958190      0.000102954  Lin-Lin
 960000      0.000105368  Lin-Lin
 962020      0.000108252  Lin-Lin
 964322      0.00011154   Lin-Lin
 964795      0.000112215  Lin-Lin
 966959      0.000115312  Lin-Lin
 970000      0.000119667  Lin-Lin
 972136      0.000122927  Lin-Lin
 974492      0.000126525  Lin-Lin
 974806      0.000127004  Lin-Lin
 977100      0.000130514  Lin-Lin
 980000      0.000134952  Lin-Lin
 982202      0.000138531  Lin-Lin
 984586      0.00014241   Lin-Lin
 984817      0.000142784  Lin-Lin
 987177      0.000146631  Lin-Lin
 990000      0.000151233  Lin-Lin
 992244      0.000155106  Lin-Lin
 994647      0.000159255  Lin-Lin
 994826      0.000159564  Lin-Lin
 997226      0.000163716  Lin-Lin
 1E+06       0.000168517  Lin-Lin
 1.00304E+06 0.000175474  Lin-Lin
 1.00637E+06 0.000183085  Lin-Lin
 1.00677E+06 0.000183998  Lin-Lin
 1.00717E+06 0.000184908  Lin-Lin
 1.0075E+06  0.000185663  Lin-Lin
 1.00797E+06 0.000186734  Lin-Lin
 1.00863E+06 0.000188237  Lin-Lin
 1.0092E+06  0.000189562  Lin-Lin
 1.00956E+06 0.000190382  Lin-Lin
 1.01016E+06 0.000191746  Lin-Lin
 1.01087E+06 0.000193376  Lin-Lin
 1.01172E+06 0.000195331  Lin-Lin
 1.01226E+06 0.000196549  Lin-Lin
 1.01246E+06 0.000197012  Lin-Lin
 1.01275E+06 0.000197685  Lin-Lin
 1.01393E+06 0.000200391  Lin-Lin
 1.01534E+06 0.000203641  Lin-Lin
 1.01556E+06 0.000204123  Lin-Lin
 1.01705E+06 0.000207569  Lin-Lin
 1.01913E+06 0.000212344  Lin-Lin
 1.02035E+06 0.00021515   Lin-Lin
 1.02171E+06 0.000218265  Lin-Lin
 1.02242E+06 0.000219914  Lin-Lin
 1.02321E+06 0.000221729  Lin-Lin
 1.02489E+06 0.000225594  Lin-Lin
 1.02597E+06 0.000228068  Lin-Lin
 1.02618E+06 0.000228565  Lin-Lin
 1.02677E+06 0.00022992   Lin-Lin
 1.02888E+06 0.000234782  Lin-Lin
 1.02979E+06 0.000236892  Lin-Lin
 1.03125E+06 0.000240259  Lin-Lin
 1.03393E+06 0.000246451  Lin-Lin
 1.0373E+06  0.000254145  Lin-Lin
 1.03776E+06 0.00025518   Lin-Lin
 1.04121E+06 0.00026305   Lin-Lin
 1.04187E+06 0.000264567  Lin-Lin
 1.0421E+06  0.000265092  Lin-Lin
 1.04339E+06 0.000268045  Lin-Lin
 1.04575E+06 0.000273451  Lin-Lin
 1.0463E+06  0.000274713  Lin-Lin
 1.04831E+06 0.000279315  Lin-Lin
 1.05109E+06 0.000285685  Lin-Lin
 1.0552E+06  0.000295118  Lin-Lin
 1.05554E+06 0.000295903  Lin-Lin
 1.05983E+06 0.000305736  Lin-Lin
 1.06032E+06 0.000306876  Lin-Lin
 1.06057E+06 0.000307441  Lin-Lin
 1.06505E+06 0.000317783  Lin-Lin
 1.06546E+06 0.000318719  Lin-Lin
 1.071E+06   0.000331507  Lin-Lin
 1.07122E+06 0.000332002  Lin-Lin
 1.07186E+06 0.00033349   Lin-Lin
 1.07273E+06 0.000335474  Lin-Lin
 1.07344E+06 0.000337111  Lin-Lin
 1.07446E+06 0.000339438  Lin-Lin
 1.07588E+06 0.000342706  Lin-Lin
 1.07745E+06 0.000346306  Lin-Lin
 1.07761E+06 0.00034667   Lin-Lin
 1.07792E+06 0.000347373  Lin-Lin
 1.07921E+06 0.000350335  Lin-Lin
 1.08075E+06 0.00035388   Lin-Lin
 1.08261E+06 0.000358135  Lin-Lin
 1.08484E+06 0.000363258  Lin-Lin
 1.08757E+06 0.000369537  Lin-Lin
 1.0909E+06  0.000377182  Lin-Lin
 1.09194E+06 0.000379587  Lin-Lin
 1.09209E+06 0.000379918  Lin-Lin
 1.09497E+06 0.000386552  Lin-Lin
 1.09735E+06 0.000392025  Lin-Lin
 1.1E+06     0.000398119  Lin-Lin
 1.10379E+06 0.000410913  Lin-Lin
 1.10432E+06 0.00041271   Lin-Lin
 1.10821E+06 0.000425829  Lin-Lin
 1.10899E+06 0.000428477  Lin-Lin
 1.10917E+06 0.000429078  Lin-Lin
 1.10931E+06 0.000429565  Lin-Lin
 1.11069E+06 0.000434246  Lin-Lin
 1.1134E+06  0.000443405  Lin-Lin
 1.11405E+06 0.000445619  Lin-Lin
 1.11419E+06 0.000446107  Lin-Lin
 1.11634E+06 0.000453384  Lin-Lin
 1.11955E+06 0.000464282  Lin-Lin
 1.12422E+06 0.00048013   Lin-Lin
 1.12461E+06 0.000481454  Lin-Lin
 1.12949E+06 0.000498042  Lin-Lin
 1.13006E+06 0.00049997   Lin-Lin
 1.13024E+06 0.000500578  Lin-Lin
 1.1304E+06  0.000501135  Lin-Lin
 1.13549E+06 0.000518479  Lin-Lin
