#LIBRARY    ENDF/B-VIII.1
#REACTION   FE-58(N,G)FE-59,SIG
#NUCLEUS    Fe-58
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 1E-05       66.1101      Lin-Lin
 1.10304E-05 62.9467      Lin-Lin
 1.21669E-05 59.9347      Lin-Lin
 1.34206E-05 57.0667      Lin-Lin
 1.48034E-05 54.336       Lin-Lin
 1.63286E-05 51.736       Lin-Lin
 1.80111E-05 49.2604      Lin-Lin
 1.98669E-05 46.9032      Lin-Lin
 2.19139E-05 44.6589      Lin-Lin
 2.41719E-05 42.5219      Lin-Lin
 2.66625E-05 40.4872      Lin-Lin
 2.94097E-05 38.5499      Lin-Lin
 3.244E-05   36.7052      Lin-Lin
 3.57825E-05 34.9488      Lin-Lin
 3.94694E-05 33.2765      Lin-Lin
 4.35362E-05 31.6842      Lin-Lin
 4.80221E-05 30.1681      Lin-Lin
 5.29701E-05 28.7245      Lin-Lin
 5.8428E-05  27.35        Lin-Lin
 6.44482E-05 26.0413      Lin-Lin
 7.10888E-05 24.7952      Lin-Lin
 7.84136E-05 23.6087      Lin-Lin
 8.64931E-05 22.479       Lin-Lin
 9.54051E-05 21.4034      Lin-Lin
 0.000105235 20.3792      Lin-Lin
 0.000116078 19.404       Lin-Lin
 0.000128039 18.4755      Lin-Lin
 0.000141232 17.5915      Lin-Lin
 0.000155784 16.7497      Lin-Lin
 0.000171835 15.9482      Lin-Lin
 0.00018954  15.1851      Lin-Lin
 0.00020907  14.4585      Lin-Lin
 0.000230612 13.7666      Lin-Lin
 0.000254374 13.1079      Lin-Lin
 0.000280584 12.4806      Lin-Lin
 0.000309494 11.8834      Lin-Lin
 0.000341383 11.3148      Lin-Lin
 0.000376558 10.7734      Lin-Lin
 0.000415358 10.2579      Lin-Lin
 0.000458155 9.76701      Lin-Lin
 0.000505362 9.29965      Lin-Lin
 0.000557433 8.85466      Lin-Lin
 0.000614869 8.43095      Lin-Lin
 0.000678223 8.02752      Lin-Lin
 0.000748105 7.6434       Lin-Lin
 0.000825188 7.27766      Lin-Lin
 0.000910213 6.92941      Lin-Lin
 0.001004    6.59784      Lin-Lin
 0.00110745  6.28212      Lin-Lin
 0.00122155  5.98152      Lin-Lin
 0.00134742  5.6953       Lin-Lin
 0.00148625  5.42277      Lin-Lin
 0.00163939  5.16329      Lin-Lin
 0.00180831  4.91622      Lin-Lin
 0.00199463  4.68097      Lin-Lin
 0.00220016  4.45698      Lin-Lin
 0.00242685  4.24371      Lin-Lin
 0.00267691  4.04065      Lin-Lin
 0.00295273  3.8473       Lin-Lin
 0.00325697  3.6632       Lin-Lin
 0.00359256  3.48791      Lin-Lin
 0.00396272  3.32101      Lin-Lin
 0.00437103  3.1621       Lin-Lin
 0.00482141  3.01079      Lin-Lin
 0.00531819  2.86672      Lin-Lin
 0.00586616  2.72954      Lin-Lin
 0.00647059  2.59893      Lin-Lin
 0.0071373   2.47457      Lin-Lin
 0.00787271  2.35616      Lin-Lin
 0.00868389  2.24342      Lin-Lin
 0.00957865  2.13607      Lin-Lin
 0.0105656   2.03386      Lin-Lin
 0.0116543   1.93654      Lin-Lin
 0.0128551   1.84389      Lin-Lin
 0.0141796   1.75568      Lin-Lin
 0.0156406   1.67169      Lin-Lin
 0.0172522   1.59173      Lin-Lin
 0.0190298   1.5156       Lin-Lin
 0.0209906   1.4431       Lin-Lin
 0.0231534   1.37406      Lin-Lin
 0.0252419   1.316        Lin-Lin
 0.0253      1.31449      Lin-Lin
 0.0279068   1.25159      Lin-Lin
 0.0307823   1.19171      Lin-Lin
 0.033954    1.13468      Lin-Lin
 0.0374525   1.08039      Lin-Lin
 0.0413115   1.02869      Lin-Lin
 0.0455681   0.979463     Lin-Lin
 0.0502633   0.932593     Lin-Lin
 0.0554423   0.887965     Lin-Lin
 0.0611549   0.845473     Lin-Lin
 0.0674561   0.805015     Lin-Lin
 0.0744066   0.766492     Lin-Lin
 0.0820732   0.729812     Lin-Lin
 0.0905297   0.694887     Lin-Lin
 0.0998577   0.661634     Lin-Lin
 0.110147    0.629971     Lin-Lin
 0.121496    0.599824     Lin-Lin
 0.134014    0.571119     Lin-Lin
 0.147823    0.543787     Lin-Lin
 0.163054    0.517763     Lin-Lin
 0.179855    0.492984     Lin-Lin
 0.198386    0.469391     Lin-Lin
 0.218827    0.446926     Lin-Lin
 0.241375    0.425536     Lin-Lin
 0.266245    0.40517      Lin-Lin
 0.293678    0.385778     Lin-Lin
 0.323938    0.367313     Lin-Lin
 0.357316    0.349732     Lin-Lin
 0.394132    0.332992     Lin-Lin
 0.434743    0.317053     Lin-Lin
 0.479537    0.301876     Lin-Lin
 0.528947    0.287425     Lin-Lin
 0.583448    0.273665     Lin-Lin
 0.643565    0.260563     Lin-Lin
 0.709876    0.248088     Lin-Lin
 0.78302     0.23621      Lin-Lin
 0.8637      0.224899     Lin-Lin
 0.952693    0.21413      Lin-Lin
 1.05086     0.203875     Lin-Lin
 1.15913     0.194111     Lin-Lin
 1.27857     0.184814     Lin-Lin
 1.4103      0.17596      Lin-Lin
 1.55562     0.167531     Lin-Lin
 1.7159      0.159504     Lin-Lin
 1.89271     0.15186      Lin-Lin
 2.08772     0.144582     Lin-Lin
 2.30284     0.137651     Lin-Lin
 2.54012     0.131051     Lin-Lin
 2.80184     0.124766     Lin-Lin
 3.09053     0.118781     Lin-Lin
 3.40897     0.113082     Lin-Lin
 3.76022     0.107655     Lin-Lin
 4.14767     0.102486     Lin-Lin
 4.57503     0.0975646    Lin-Lin
 5.04642     0.0928777    Lin-Lin
 5.56639     0.0884145    Lin-Lin
 6.13994     0.0841642    Lin-Lin
 6.77258     0.0801164    Lin-Lin
 7.4704      0.0762614    Lin-Lin
 8.24013     0.0725897    Lin-Lin
 9.08917     0.0690924    Lin-Lin
 10.0257     0.065761     Lin-Lin
 11.0587     0.0625875    Lin-Lin
 12.1982     0.0595642    Lin-Lin
 13.455      0.056684     Lin-Lin
 14.8414     0.0539399    Lin-Lin
 16.3706     0.0513256    Lin-Lin
 18.0574     0.0488349    Lin-Lin
 19.918      0.046462     Lin-Lin
 21.9702     0.0442013    Lin-Lin
 24.234      0.0420476    Lin-Lin
 26.731      0.0399957    Lin-Lin
 29.4853     0.0380404    Lin-Lin
 32.5233     0.036177     Lin-Lin
 35.8744     0.0344006    Lin-Lin
 39.5708     0.0327042    Lin-Lin
 43.6481     0.0310925    Lin-Lin
 48.1454     0.029553     Lin-Lin
 53.1062     0.0280849    Lin-Lin
 58.5781     0.026685     Lin-Lin
 64.1644     0.0254433    Lin-Lin
 70.7757     0.0241665    Lin-Lin
 78.0682     0.0229473    Lin-Lin
 85.5089     0.0218705    Lin-Lin
 94.3195     0.0207616    Lin-Lin
 103.314     0.0197795    Lin-Lin
 113.959     0.0187712    Lin-Lin
 124.821     0.0178854    Lin-Lin
 136.724     0.0170448    Lin-Lin
 148.714     0.016313     Lin-Lin
 161.755     0.0156384    Lin-Lin
 172.276     0.0151934    Lin-Lin
 180.939     0.0148965    Lin-Lin
 188.706     0.0147123    Lin-Lin
 194.837     0.014658     Lin-Lin
 198.979     0.0146985    Lin-Lin
 201.786     0.0147805    Lin-Lin
 204.633     0.0149347    Lin-Lin
 206.793     0.0151162    Lin-Lin
 208.974     0.0153892    Lin-Lin
 210.448     0.0156392    Lin-Lin
 211.922     0.0159713    Lin-Lin
 213.043     0.0162907    Lin-Lin
 214.164     0.0166915    Lin-Lin
 215.291     0.0172001    Lin-Lin
 216.049     0.0176195    Lin-Lin
 216.807     0.0181172    Lin-Lin
 217.565     0.0187146    Lin-Lin
 218.328     0.0194425    Lin-Lin
 218.905     0.0200973    Lin-Lin
 219.481     0.020868     Lin-Lin
 220.058     0.021782     Lin-Lin
 220.442     0.0224879    Lin-Lin
 220.827     0.0232864    Lin-Lin
 221.273     0.0243535    Lin-Lin
 221.656     0.0254085    Lin-Lin
 222.038     0.0266226    Lin-Lin
 222.42      0.0280283    Lin-Lin
 222.675     0.0290924    Lin-Lin
 222.929     0.0302762    Lin-Lin
 223.23      0.0318507    Lin-Lin
 223.489     0.0333929    Lin-Lin
 223.748     0.0351346    Lin-Lin
 224.007     0.0371119    Lin-Lin
 224.266     0.0393702    Lin-Lin
 224.499     0.0416869    Lin-Lin
 224.68      0.0437034    Lin-Lin
 224.861     0.0459426    Lin-Lin
 225.042     0.0484385    Lin-Lin
 225.223     0.0512323    Lin-Lin
 225.403     0.0543741    Lin-Lin
 225.545     0.0571206    Lin-Lin
 225.687     0.0601536    Lin-Lin
 225.829     0.0635147    Lin-Lin
 225.971     0.0672534    Lin-Lin
 226.112     0.0714294    Lin-Lin
 226.232     0.0753501    Lin-Lin
 226.341     0.0792683    Lin-Lin
 226.45      0.0835748    Lin-Lin
 226.558     0.0883237    Lin-Lin
 226.667     0.0935794    Lin-Lin
 226.769     0.0990486    Lin-Lin
 226.858     0.104296     Lin-Lin
 226.947     0.110052     Lin-Lin
 227.037     0.116387     Lin-Lin
 227.126     0.123385     Lin-Lin
 227.215     0.131144     Lin-Lin
 227.295     0.138898     Lin-Lin
 227.376     0.147477     Lin-Lin
 227.456     0.15701      Lin-Lin
 227.536     0.167655     Lin-Lin
 227.617     0.179609     Lin-Lin
 227.687     0.191325     Lin-Lin
 227.752     0.203446     Lin-Lin
 227.817     0.216994     Lin-Lin
 227.882     0.232248     Lin-Lin
 227.926     0.243544     Lin-Lin
 227.969     0.255899     Lin-Lin
 228.01      0.26852      Lin-Lin
 228.047     0.281326     Lin-Lin
 228.085     0.29536      Lin-Lin
 228.123     0.310823     Lin-Lin
 228.16      0.327954     Lin-Lin
 228.198     0.347048     Lin-Lin
 228.235     0.368462     Lin-Lin
 228.273     0.392628     Lin-Lin
 228.308     0.418546     Lin-Lin
 228.342     0.446223     Lin-Lin
 228.367     0.46934      Lin-Lin
 228.393     0.494768     Lin-Lin
 228.418     0.522802     Lin-Lin
 228.443     0.553775     Lin-Lin
 228.468     0.588061     Lin-Lin
 228.493     0.626077     Lin-Lin
 228.519     0.668291     Lin-Lin
 228.544     0.715221     Lin-Lin
 228.567     0.763317     Lin-Lin
 228.587     0.807436     Lin-Lin
 228.606     0.855397     Lin-Lin
 228.626     0.907543     Lin-Lin
 228.645     0.96424      Lin-Lin
 228.665     1.02588      Lin-Lin
 228.685     1.09289      Lin-Lin
 228.704     1.1657       Lin-Lin
 228.724     1.24479      Lin-Lin
 228.743     1.33066      Lin-Lin
 228.763     1.42383      Lin-Lin
 228.781     1.51785      Lin-Lin
 228.804     1.64954      Lin-Lin
 228.828     1.79435      Lin-Lin
 228.851     1.95336      Lin-Lin
 228.875     2.12769      Lin-Lin
 228.898     2.31851      Lin-Lin
 228.922     2.52701      Lin-Lin
 228.945     2.7544       Lin-Lin
 228.966     2.98046      Lin-Lin
 228.986     3.2014       Lin-Lin
 229.006     3.43777      Lin-Lin
 229.025     3.69026      Lin-Lin
 229.045     3.95954      Lin-Lin
 229.064     4.24625      Lin-Lin
 229.084     4.551        Lin-Lin
 229.103     4.87435      Lin-Lin
 229.132     5.37957      Lin-Lin
 229.16      5.91821      Lin-Lin
 229.188     6.49859      Lin-Lin
 229.216     7.12142      Lin-Lin
 229.244     7.78701      Lin-Lin
 229.272     8.49246      Lin-Lin
 229.309     9.48978      Lin-Lin
 229.346     10.5572      Lin-Lin
 229.382     11.6902      Lin-Lin
 229.424     13.0351      Lin-Lin
 229.479     14.9231      Lin-Lin
 229.657     21.2299      Lin-Lin
 229.716     23.2025      Lin-Lin
 229.76      24.5638      Lin-Lin
 229.802     25.7124      Lin-Lin
 229.846     26.7845      Lin-Lin
 229.893     27.7185      Lin-Lin
 229.937     28.3741      Lin-Lin
 229.982     28.7994      Lin-Lin
 230.023     28.9786      Lin-Lin
 230.037     28.9907      Lin-Lin
 230.067     28.9347      Lin-Lin
 230.1       28.743       Lin-Lin
 230.131     28.4415      Lin-Lin
 230.175     27.8148      Lin-Lin
 230.221     26.9412      Lin-Lin
 230.264     25.9367      Lin-Lin
 230.305     24.8174      Lin-Lin
 230.35      23.4823      Lin-Lin
 230.409     21.5357      Lin-Lin
 230.487     18.7884      Lin-Lin
 230.592     15.0466      Lin-Lin
 230.64      13.4036      Lin-Lin
 230.686     11.8976      Lin-Lin
 230.723     10.7568      Lin-Lin
 230.76      9.68035      Lin-Lin
 230.797     8.67304      Lin-Lin
 230.824     7.96486      Lin-Lin
 230.852     7.29803      Lin-Lin
 230.88      6.67279      Lin-Lin
 230.908     6.08893      Lin-Lin
 230.935     5.54587      Lin-Lin
 230.96      5.08739      Lin-Lin
 230.986     4.6609       Lin-Lin
 231.011     4.26535      Lin-Lin
 231.036     3.89954      Lin-Lin
 231.061     3.56218      Lin-Lin
 231.086     3.25188      Lin-Lin
 231.105     3.03605      Lin-Lin
 231.124     2.83403      Lin-Lin
 231.143     2.64262      Lin-Lin
 231.163     2.45936      Lin-Lin
 231.182     2.28898      Lin-Lin
 231.202     2.13079      Lin-Lin
 231.222     1.9841       Lin-Lin
 231.241     1.84822      Lin-Lin
 231.261     1.72249      Lin-Lin
 231.281     1.60627      Lin-Lin
 231.3       1.49894      Lin-Lin
 231.32      1.39991      Lin-Lin
 231.339     1.3086       Lin-Lin
 231.36      1.22123      Lin-Lin
 231.381     1.13956      Lin-Lin
 231.402     1.06476      Lin-Lin
 231.422     0.996286     Lin-Lin
 231.443     0.933619     Lin-Lin
 231.464     0.876274     Lin-Lin
 231.485     0.8238       Lin-Lin
 231.506     0.775777     Lin-Lin
 231.527     0.731815     Lin-Lin
 231.547     0.691555     Lin-Lin
 231.568     0.654663     Lin-Lin
 231.594     0.613363     Lin-Lin
 231.62      0.5762       Lin-Lin
 231.645     0.542708     Lin-Lin
 231.671     0.512471     Lin-Lin
 231.697     0.485114     Lin-Lin
 231.722     0.46031      Lin-Lin
 231.739     0.445045     Lin-Lin
 231.774     0.417218     Lin-Lin
 231.808     0.392543     Lin-Lin
 231.842     0.370553     Lin-Lin
 231.88      0.348845     Lin-Lin
 231.918     0.329508     Lin-Lin
 231.956     0.312174     Lin-Lin
 231.994     0.296544     Lin-Lin
 232.032     0.282368     Lin-Lin
 232.07      0.269442     Lin-Lin
 232.127     0.252039     Lin-Lin
 232.169     0.240461     Lin-Lin
 232.215     0.228819     Lin-Lin
 232.262     0.218163     Lin-Lin
 232.331     0.203758     Lin-Lin
 232.401     0.190955     Lin-Lin
 232.47      0.179497     Lin-Lin
 232.544     0.168613     Lin-Lin
 232.625     0.157802     Lin-Lin
 232.707     0.148133     Lin-Lin
 232.789     0.139442     Lin-Lin
 232.87      0.131594     Lin-Lin
 232.952     0.124479     Lin-Lin
 233.042     0.117394     Lin-Lin
 233.131     0.110983     Lin-Lin
 233.221     0.10516      Lin-Lin
 233.311     0.0998529    Lin-Lin
 233.43      0.0934759    Lin-Lin
 233.546     0.0879577    Lin-Lin
 233.662     0.0829979    Lin-Lin
 233.778     0.0785221    Lin-Lin
 233.894     0.0744683    Lin-Lin
 234.01      0.0707842    Lin-Lin
 234.145     0.0669033    Lin-Lin
 234.289     0.0631713    Lin-Lin
 234.434     0.0598171    Lin-Lin
 234.578     0.0567909    Lin-Lin
 234.722     0.0540507    Lin-Lin
 234.887     0.0512402    Lin-Lin
 235.09      0.0481412    Lin-Lin
 235.293     0.0454051    Lin-Lin
 235.497     0.0429766    Lin-Lin
 235.7       0.0408107    Lin-Lin
 235.903     0.0388707    Lin-Lin
 236.1       0.0371773    Lin-Lin
 236.298     0.0356443    Lin-Lin
 236.593     0.0336028    Lin-Lin
 236.889     0.0318228    Lin-Lin
 237.185     0.0302609    Lin-Lin
 237.48      0.0288832    Lin-Lin
 237.816     0.027507     Lin-Lin
 238.152     0.0262987    Lin-Lin
 238.487     0.0252317    Lin-Lin
 238.823     0.0242845    Lin-Lin
 239.327     0.023052     Lin-Lin
 239.83      0.0220045    Lin-Lin
 240.378     0.0210334    Lin-Lin
 241.013     0.0200818    Lin-Lin
 241.648     0.0192806    Lin-Lin
 242.284     0.0185998    Lin-Lin
 242.707     0.0182008    Lin-Lin
 243.554     0.0175095    Lin-Lin
 244.413     0.0169267    Lin-Lin
 245.272     0.0164374    Lin-Lin
 246.561     0.0158391    Lin-Lin
 247.837     0.0153629    Lin-Lin
 248.683     0.015097     Lin-Lin
 250.376     0.0146564    Lin-Lin
 252.143     0.0142971    Lin-Lin
 254.804     0.0138817    Lin-Lin
 257.491     0.0135719    Lin-Lin
 261.124     0.0132626    Lin-Lin
 264.808     0.0130379    Lin-Lin
 268.544     0.0128703    Lin-Lin
 274.253     0.0127015    Lin-Lin
 280.071     0.0126116    Lin-Lin
 284.275     0.0125921    Lin-Lin
 289.054     0.0126197    Lin-Lin
 295.12      0.0127347    Lin-Lin
 299.284     0.0128807    Lin-Lin
 303.454     0.0130939    Lin-Lin
 307.447     0.0133821    Lin-Lin
 310.446     0.0136659    Lin-Lin
 313.685     0.0140608    Lin-Lin
 315.845     0.0143873    Lin-Lin
 318.005     0.0147764    Lin-Lin
 319.973     0.0151973    Lin-Lin
 321.941     0.0156964    Lin-Lin
 323.613     0.0161949    Lin-Lin
 325.285     0.0167747    Lin-Lin
 326.968     0.0174618    Lin-Lin
 328.674     0.0182859    Lin-Lin
 329.812     0.0189225    Lin-Lin
 330.949     0.0196424    Lin-Lin
 332.405     0.0207089    Lin-Lin
 333.376     0.0215273    Lin-Lin
 334.347     0.0224454    Lin-Lin
 335.346     0.0235156    Lin-Lin
 336.373     0.0247741    Lin-Lin
 337.399     0.0262194    Lin-Lin
 338.169     0.0274473    Lin-Lin
 338.939     0.0288242    Lin-Lin
 339.592     0.0301268    Lin-Lin
 340.245     0.031572     Lin-Lin
 340.897     0.0331804    Lin-Lin
 341.55      0.0349729    Lin-Lin
 342.203     0.0369805    Lin-Lin
 342.762     0.0389002    Lin-Lin
 343.273     0.040845     Lin-Lin
 343.785     0.0429933    Lin-Lin
 344.296     0.0453746    Lin-Lin
 344.808     0.0480224    Lin-Lin
 345.149     0.0499546    Lin-Lin
 345.65      0.053068     Lin-Lin
 346.151     0.0565602    Lin-Lin
 346.526     0.059466     Lin-Lin
 346.902     0.0626521    Lin-Lin
 347.152     0.0649496    Lin-Lin
 347.585     0.0692913    Lin-Lin
 347.91      0.0728931    Lin-Lin
 348.234     0.0768324    Lin-Lin
 348.559     0.0811532    Lin-Lin
 348.884     0.0859063    Lin-Lin
 349.174     0.0905783    Lin-Lin
 349.465     0.0956949    Lin-Lin
 349.756     0.101314     Lin-Lin
 350.047     0.107505     Lin-Lin
 350.337     0.114347     Lin-Lin
 350.637     0.122188     Lin-Lin
 350.942     0.131089     Lin-Lin
 351.246     0.141089     Lin-Lin
 351.45      0.14846      Lin-Lin
 351.653     0.15647      Lin-Lin
 351.856     0.165197     Lin-Lin
 352.059     0.174731     Lin-Lin
 352.296     0.187013     Lin-Lin
 352.533     0.200729     Lin-Lin
 352.71      0.212097     Lin-Lin
 352.888     0.224519     Lin-Lin
 353.063     0.237934     Lin-Lin
 353.233     0.252228     Lin-Lin
 353.404     0.267921     Lin-Lin
 353.574     0.285204     Lin-Lin
 353.745     0.304302     Lin-Lin
 353.915     0.325482     Lin-Lin
 354.05      0.34395      Lin-Lin
 354.185     0.36411      Lin-Lin
 354.32      0.386181     Lin-Lin
 354.455     0.410417     Lin-Lin
 354.59      0.437115     Lin-Lin
 354.715     0.464299     Lin-Lin
 354.834     0.492945     Lin-Lin
 354.954     0.524453     Lin-Lin
 355.074     0.559231     Lin-Lin
 355.194     0.597763     Lin-Lin
 355.308     0.638714     Lin-Lin
 355.413     0.680012     Lin-Lin
 355.517     0.725679     Lin-Lin
 355.622     0.77639      Lin-Lin
 355.726     0.832961     Lin-Lin
 355.831     0.896399     Lin-Lin
 355.914     0.952705     Lin-Lin
 355.997     1.01495      Lin-Lin
 356.08      1.0841       Lin-Lin
 356.164     1.16136      Lin-Lin
 356.247     1.24824      Lin-Lin
 356.325     1.33962      Lin-Lin
 356.399     1.4391       Lin-Lin
 356.449     1.51279      Lin-Lin
 356.499     1.59334      Lin-Lin
 356.549     1.68178      Lin-Lin
 356.599     1.77932      Lin-Lin
 356.649     1.88743      Lin-Lin
 356.694     1.99586      Lin-Lin
 356.734     2.10275      Lin-Lin
 356.775     2.22022      Lin-Lin
 356.815     2.34977      Lin-Lin
 356.856     2.49308      Lin-Lin
 356.896     2.65211      Lin-Lin
 356.937     2.82911      Lin-Lin
 356.977     3.02662      Lin-Lin
 357.017     3.24308      Lin-Lin
 357.056     3.48019      Lin-Lin
 357.085     3.67615      Lin-Lin
 357.114     3.88933      Lin-Lin
 357.143     4.12139      Lin-Lin
 357.172     4.37411      Lin-Lin
 357.202     4.64941      Lin-Lin
 357.231     4.94934      Lin-Lin
 357.26      5.27611      Lin-Lin
 357.289     5.63206      Lin-Lin
 357.318     6.01736      Lin-Lin
 357.347     6.43153      Lin-Lin
 357.375     6.88141      Lin-Lin
 357.404     7.36972      Lin-Lin
 357.433     7.8993       Lin-Lin
 357.461     8.47308      Lin-Lin
 357.49      9.09405      Lin-Lin
 357.519     9.76528      Lin-Lin
 357.547     10.4899      Lin-Lin
 357.576     11.271       Lin-Lin
 357.605     12.1117      Lin-Lin
 357.63      12.8909      Lin-Lin
 357.66      13.9175      Lin-Lin
 357.691     15.0218      Lin-Lin
 357.721     16.2073      Lin-Lin
 357.752     17.4769      Lin-Lin
 357.783     18.8334      Lin-Lin
 357.813     20.2791      Lin-Lin
 357.844     21.816       Lin-Lin
 357.879     23.7191      Lin-Lin
 357.92      26.0421      Lin-Lin
 357.96      28.5288      Lin-Lin
 358.001     31.1765      Lin-Lin
 358.052     34.7184      Lin-Lin
 358.098     38.111       Lin-Lin
 358.159     42.8939      Lin-Lin
 358.235     49.209       Lin-Lin
 358.449     67.5682      Lin-Lin
 358.51      72.5482      Lin-Lin
