https://www-nds.iaea.org/exfor/servlet/E4sGetTabSect?SectID=21418843&req=64382&PenSectID=26256012
#LIBRARY    ENDF/B-VIII.1
#REACTION   IN-115(N,N`)IN-115-L1,SIG
#NUCLEUS    In-115
#MF         3
#MT         51
#EN-MIN     339151
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 339151      0            Lin-Lin
 500000      0.00638566   Lin-Lin
 523806      0.00739755   Lin-Lin
 542401      0.00815646   Lin-Lin
 571538      0.00929483   Lin-Lin
 602241      0.0104332    Lin-Lin
 649283      0.0114127    Lin-Lin
 700000      0.0123923    Lin-Lin
 748332      0.0139569    Lin-Lin
 800000      0.0155214    Lin-Lin
 835672      0.0168405    Lin-Lin
 871584      0.0172782    Lin-Lin
 900000      0.0177368    Lin-Lin
 941795      0.0185739    Lin-Lin
 949462      0.0185252    Lin-Lin
 1E+06       0.0177514    Lin-Lin
 1.08746E+06 0.0179868    Lin-Lin
 1.14244E+06 0.0178485    Lin-Lin
 1.25E+06    0.0185965    Lin-Lin
 1.30183E+06 0.0191226    Lin-Lin
 1.43045E+06 0.020576     Lin-Lin
 1.46142E+06 0.0207831    Lin-Lin
 1.47534E+06 0.0208193    Lin-Lin
 1.51317E+06 0.0206973    Lin-Lin
 1.75E+06    0.0197145    Lin-Lin
 1.93434E+06 0.0182387    Lin-Lin
 2E+06       0.0177468    Lin-Lin
 2.15115E+06 0.0161553    Lin-Lin
 2.28641E+06 0.0148233    Lin-Lin
 2.44707E+06 0.0133399    Lin-Lin
 2.62458E+06 0.0118102    Lin-Lin
 2.75293E+06 0.0107672    Lin-Lin
 2.91527E+06 0.00951555   Lin-Lin
 3E+06       0.00888975   Lin-Lin
 3.15916E+06 0.00790022   Lin-Lin
 3.29884E+06 0.00707203   Lin-Lin
 3.46167E+06 0.00614973   Lin-Lin
 3.63801E+06 0.0051986    Lin-Lin
 3.76337E+06 0.00455011   Lin-Lin
 3.91952E+06 0.00377192   Lin-Lin
 4E+06       0.00338282   Lin-Lin
 4.16364E+06 0.00295703   Lin-Lin
 4.30574E+06 0.00260067   Lin-Lin
 4.4697E+06  0.0022038    Lin-Lin
 4.59675E+06 0.00190616   Lin-Lin
 4.73689E+06 0.00158725   Lin-Lin
 4.86667E+06 0.00130024   Lin-Lin
 5E+06       0.00101322   Lin-Lin
 5.11526E+06 0.000919571  Lin-Lin
 5.32339E+06 0.000755686  Lin-Lin
 5.48503E+06 0.000632772  Lin-Lin
 5.65687E+06 0.000506017  Lin-Lin
 5.7771E+06  0.000419593  Lin-Lin
 5.92476E+06 0.000315884  Lin-Lin
 6E+06       0.00026403   Lin-Lin
 6.23574E+06 0.000214503  Lin-Lin
 6.4186E+06  0.000177358  Lin-Lin
 6.6128E+06  0.000139052  Lin-Lin
 6.74856E+06 0.000112935  Lin-Lin
 6.91516E+06 8.15937E-05  Lin-Lin
 7E+06       6.59231E-05  Lin-Lin
 7.23762E+06 5.37126E-05  Lin-Lin
 7.42112E+06 4.45547E-05  Lin-Lin
 7.61523E+06 3.51107E-05  Lin-Lin
 7.75047E+06 2.86715E-05  Lin-Lin
 7.91594E+06 2.09446E-05  Lin-Lin
 8E+06       1.70811E-05  Lin-Lin
 8.23907E+06 1.40038E-05  Lin-Lin
 8.49309E+06 1.08303E-05  Lin-Lin
