#LIBRARY    INDEN-Aug2023
#REACTION   MN-55(N,G)MN-56,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     6e+07
#E,eV        Sig,b        Interpolation
 1E-05       667.644      Lin-Lin
 1.10304E-05 635.697      Lin-Lin
 1.21669E-05 605.278      Lin-Lin
 1.34206E-05 576.315      Lin-Lin
 1.48034E-05 548.738      Lin-Lin
 1.63286E-05 522.48       Lin-Lin
 1.80111E-05 497.479      Lin-Lin
 1.98669E-05 473.674      Lin-Lin
 2.19139E-05 451.008      Lin-Lin
 2.41719E-05 429.427      Lin-Lin
 2.66625E-05 408.879      Lin-Lin
 2.94097E-05 389.314      Lin-Lin
 3.244E-05   370.685      Lin-Lin
 3.57825E-05 352.947      Lin-Lin
 3.94694E-05 336.058      Lin-Lin
 4.35362E-05 319.978      Lin-Lin
 4.80221E-05 304.666      Lin-Lin
 5.29701E-05 290.088      Lin-Lin
 5.8428E-05  276.207      Lin-Lin
 6.44482E-05 262.99       Lin-Lin
 7.10888E-05 250.406      Lin-Lin
 7.84136E-05 238.424      Lin-Lin
 8.64931E-05 227.015      Lin-Lin
 9.54051E-05 216.152      Lin-Lin
 0.000105235 205.809      Lin-Lin
 0.000116078 195.961      Lin-Lin
 0.000128039 186.584      Lin-Lin
 0.000141232 177.656      Lin-Lin
 0.000155784 169.155      Lin-Lin
 0.000171835 161.061      Lin-Lin
 0.00018954  153.354      Lin-Lin
 0.00020907  146.016      Lin-Lin
 0.000230612 139.029      Lin-Lin
 0.000254374 132.376      Lin-Lin
 0.000280584 126.042      Lin-Lin
 0.000309494 120.011      Lin-Lin
 0.000341383 114.268      Lin-Lin
 0.000376558 108.8        Lin-Lin
 0.000415358 103.594      Lin-Lin
 0.000458155 98.6369      Lin-Lin
 0.000505362 93.917       Lin-Lin
 0.000557433 89.423       Lin-Lin
 0.000614869 85.1441      Lin-Lin
 0.000678223 81.0699      Lin-Lin
 0.000748105 77.1906      Lin-Lin
 0.000825188 73.497       Lin-Lin
 0.000910213 69.9801      Lin-Lin
 0.001004    66.6316      Lin-Lin
 0.00110745  63.4432      Lin-Lin
 0.00122155  60.4074      Lin-Lin
 0.00134742  57.5169      Lin-Lin
 0.00148625  54.7647      Lin-Lin
 0.00163939  52.1442      Lin-Lin
 0.00180831  49.6491      Lin-Lin
 0.00199463  47.2733      Lin-Lin
 0.00220016  45.0113      Lin-Lin
 0.00242685  42.8575      Lin-Lin
 0.00267691  40.8068      Lin-Lin
 0.00295273  38.8542      Lin-Lin
 0.00325697  36.995       Lin-Lin
 0.00359256  35.2248      Lin-Lin
 0.00396272  33.5393      Lin-Lin
 0.00437103  31.9345      Lin-Lin
 0.00482141  30.4064      Lin-Lin
 0.00531819  28.9515      Lin-Lin
 0.00586616  27.5662      Lin-Lin
