#LIBRARY    ENDF/B-VIII.1
#REACTION   S-32(N,P)P-32,SIG
#NUCLEUS    S-32
#MF         3
#MT         103
#EN-MIN     957541
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 957541      0            Lin-Lin
 1.2E+06     2.9141E-07   Lin-Lin
 1.3E+06     7.5331E-06   Lin-Lin
 1.4E+06     5.6255E-05   Lin-Lin
 1.5E+06     0.0002465    Lin-Lin
 1.6E+06     0.00075348   Lin-Lin
 1.7E+06     0.0020688    Lin-Lin
 1.72E+06    0.0024216    Lin-Lin
 1.74E+06    0.0028204    Lin-Lin
 1.76E+06    0.0032721    Lin-Lin
 1.78E+06    0.0037837    Lin-Lin
 1.8E+06     0.0043626    Lin-Lin
 1.82E+06    0.0050162    Lin-Lin
 1.84E+06    0.0057523    Lin-Lin
 1.86E+06    0.0065785    Lin-Lin
 1.88E+06    0.007503     Lin-Lin
 1.9E+06     0.0085354    Lin-Lin
 1.92E+06    0.0096907    Lin-Lin
 1.94E+06    0.011002     Lin-Lin
 1.96E+06    0.012554     Lin-Lin
 1.98E+06    0.014563     Lin-Lin
 2E+06       0.017501     Lin-Lin
 2.02E+06    0.021948     Lin-Lin
 2.04E+06    0.027501     Lin-Lin
 2.06E+06    0.032488     Lin-Lin
 2.08E+06    0.036194     Lin-Lin
 2.1E+06     0.039107     Lin-Lin
 2.12E+06    0.041701     Lin-Lin
 2.14E+06    0.044158     Lin-Lin
 2.16E+06    0.0465       Lin-Lin
 2.18E+06    0.048701     Lin-Lin
 2.22E+06    0.052741     Lin-Lin
 2.24E+06    0.055004     Lin-Lin
 2.26E+06    0.058519     Lin-Lin
 2.27E+06    0.061432     Lin-Lin
 2.28E+06    0.065749     Lin-Lin
 2.3E+06     0.080263     Lin-Lin
 2.31E+06    0.089391     Lin-Lin
 2.32E+06    0.096958     Lin-Lin
 2.33E+06    0.10098      Lin-Lin
 2.34E+06    0.10254      Lin-Lin
 2.36E+06    0.099491     Lin-Lin
 2.38E+06    0.092363     Lin-Lin
 2.4E+06     0.086947     Lin-Lin
 2.42E+06    0.084019     Lin-Lin
 2.44E+06    0.0832       Lin-Lin
 2.46E+06    0.084018     Lin-Lin
 2.48E+06    0.085979     Lin-Lin
