 #LIBRARY    ENDF/B-VIII.1
#REACTION   SC-45(N,G)SC-46,SIG
#NUCLEUS    Sc-45
#MF         3
#MT         102
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       1366.1       Lin-Lin
 1.10304E-05 1300.73      Lin-Lin
 1.21669E-05 1238.49      Lin-Lin
 1.34206E-05 1179.23      Lin-Lin
 1.48034E-05 1122.8       Lin-Lin
 1.63286E-05 1069.07      Lin-Lin
 1.80111E-05 1017.92      Lin-Lin
 1.98669E-05 969.209      Lin-Lin
 2.19139E-05 922.831      Lin-Lin
 2.41719E-05 878.673      Lin-Lin
 2.66625E-05 836.628      Lin-Lin
 2.94097E-05 796.594      Lin-Lin
 3.244E-05   758.477      Lin-Lin
 3.57825E-05 722.183      Lin-Lin
 3.94694E-05 687.626      Lin-Lin
 4.35362E-05 654.722      Lin-Lin
 4.80221E-05 623.393      Lin-Lin
 5.29701E-05 593.563      Lin-Lin
 5.8428E-05  565.161      Lin-Lin
 6.44482E-05 538.117      Lin-Lin
 7.10888E-05 512.368      Lin-Lin
 7.84136E-05 487.851      Lin-Lin
 8.64931E-05 464.507      Lin-Lin
 9.54051E-05 442.279      Lin-Lin
 0.000105235 421.116      Lin-Lin
 0.000116078 400.965      Lin-Lin
 0.000128039 381.779      Lin-Lin
 0.000141232 363.51       Lin-Lin
 0.000155784 346.116      Lin-Lin
 0.000171835 329.554      Lin-Lin
 0.00018954  313.784      Lin-Lin
 0.00020907  298.77       Lin-Lin
 0.000230612 284.473      Lin-Lin
 0.000254374 270.861      Lin-Lin
 0.000280584 257.9        Lin-Lin
 0.000309494 245.559      Lin-Lin
 0.000341383 233.809      Lin-Lin
 0.000376558 222.621      Lin-Lin
 0.000415358 211.968      Lin-Lin
 0.000458155 201.825      Lin-Lin
 0.000505362 192.168      Lin-Lin
 0.000557433 182.972      Lin-Lin
 0.000614869 174.217      Lin-Lin
 0.000678223 165.88       Lin-Lin
 0.000748105 157.943      Lin-Lin
 0.000825188 150.385      Lin-Lin
 0.000910213 143.189      Lin-Lin
 0.001004    136.337      Lin-Lin
 0.00110745  129.813      Lin-Lin
 0.00122155  123.602      Lin-Lin
 0.00134742  117.687      Lin-Lin
 0.00148625  112.056      Lin-Lin
 0.00163939  106.694      Lin-Lin
