material message,1.00E-11,1.59E-11,2.51E-11,3.98E-11,6.31E-11,1.00E-10,1.59E-10,2.51E-10,3.98E-10,6.31E-10,1.00E-09,1.59E-09,2.51E-09,3.98E-09,6.31E-09,1.00E-08,1.59E-08,2.51E-08,3.98E-08,6.31E-08,1.00E-07,1.59E-07,2.51E-07,3.98E-07,6.31E-07,1.00E-06,1.59E-06,2.51E-06,3.98E-06,1.00E-05,1.59E-05,2.51E-05,3.98E-05,6.31E-05,1.00E-04,1.59E-04,2.51E-04,3.98E-04,6.31E-04,1.00E-03,1.59E-03,2.51E-03,3.98E-03,6.31E-03,1.00E-02,1.59E-02,2.51E-02,3.98E-02,6.31E-02,1.00E-01,1.59E-01,2.51E-01,3.98E-01,6.31E-01,1.00E+00,1.50E+00,2.00E+00,2.50E+00,3.00E+00,3.50E+00,4.00E+00,4.50E+00,5.00E+00,5.50E+00,6.00E+00,6.50E+00,7.00E+00,7.50E+00,8.00E+00,8.50E+00,9.00E+00,9.50E+00,1.00E+01,1.05E+01,1.10E+01,1.15E+01,1.20E+01,1.25E+01,1.30E+01,1.35E+01,1.40E+01,1.45E+01,1.50E+01,1.55E+01,1.60E+01,1.65E+01,1.70E+01,1.75E+01,1.80E+01,1.85E+01,1.90E+01,1.95E+01,2.00E+01,2.05E+01,2.10E+01,2.15E+01,2.20E+01,2.25E+01,2.30E+01,2.35E+01,2.40E+01,2.45E+01,2.50E+01,2.55E+01,2.60E+01,2.65E+01,2.70E+01,2.75E+01,2.80E+01,2.85E+01,2.90E+01,2.95E+01,3.00E+01,Measured Activity (Bq),Activity Error (Bq)
Au-197,0,0.798943582,0.625233487,0.489292767,0.392060366,0.314717743,0.24629436,0.197354035,0.158426356,0.12398901,0.099359413,0.079770429,0.062443828,0.048889874,0.039202327,0.03150281,0.024698516,0.019842179,0.016332696,0.01266419,0.01020494,0.008210867,0.006667686,0.005633508,0.004851622,0.004334446,0.004323173,0.0054752,0.016804181,0.782994018,0.000424876,0.000116485,5.83E-05,0.050221581,0.01031672,0.006215616,0.00944042,0.00812847,0.005186732,0.003855047,0.002058063,0.001296004,0.000489832,0.000366093,0.000259852,0.000181349,0.000130736,0.000101351,7.94E-05,6.34E-05,5.40E-05,4.45E-05,3.56E-05,2.30E-05,1.60E-05,1.35E-05,1.12E-05,7.70E-06,5.14E-06,3.88E-06,2.69E-06,1.99E-06,1.50E-06,1.24E-06,1.01E-06,7.42E-07,5.50E-07,2.97E-07,1.69E-07,1.54E-07,1.77E-07,2.06E-07,2.36E-07,2.62E-07,2.88E-07,3.10E-07,3.23E-07,3.27E-07,3.20E-07,2.92E-07,2.56E-07,2.20E-07,1.90E-07,1.53E-07,1.20E-07,8.70E-08,6.69E-08,5.29E-08,4.32E-08,3.53E-08,2.90E-08,2.43E-08,2.01E-08,1.64E-08,1.42E-08,1.18E-08,1.03E-08,8.76E-09,7.67E-09,6.71E-09,5.90E-09,5.35E-09,4.72E-09,4.24E-09,3.79E-09,3.46E-09,3.02E-09,2.79E-09,2.52E-09,2.28E-09,2.06E-09,1.83E-09,1.67E-09,33834.63756,0
Fe-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11E-14,4.86E-13,4.33E-10,6.61E-08,6.53E-07,3.65E-06,1.05E-05,2.80E-05,4.21E-05,5.52E-05,6.49E-05,7.93E-05,9.28E-05,0.000104141,0.000114588,0.000125303,0.00013733,0.000154076,0.00016881,0.000178191,0.000191974,0.000198145,0.000198235,0.000194544,0.000188083,0.00017671,0.000157011,0.000150445,0.000137386,0.000121186,0.000110386,0.000104986,9.37E-05,8.99E-05,8.18E-05,7.91E-05,6.91E-05,6.57E-05,6.28E-05,6.18E-05,5.93E-05,5.76E-05,5.59E-05,5.50E-05,5.22E-05,5.04E-05,4.87E-05,4.80E-05,4.74E-05,4.68E-05,4.61E-05,4.58E-05,4.33E-05,4.16E-05,3.99E-05,14.77295986,0
Al-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38E-10,2.14E-09,4.52E-09,2.07E-08,2.26E-07,2.68E-06,1.21E-05,4.21E-05,8.86E-05,0.000140035,0.000191384,0.000260977,0.000318345,0.000357042,0.000382207,0.000425655,0.000460474,0.000480313,0.00050183,0.000518724,0.000524176,0.000518661,0.00050229,0.000471079,0.000446729,0.000414369,0.000381328,0.000343439,0.000304162,0.000272198,0.000250582,0.000226131,0.000197419,0.000172487,0.0001627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.91880941,0
Ni-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27E-07,2.01E-07,1.74E-06,4.98E-06,1.37E-05,2.46E-05,3.49E-05,4.50E-05,5.13E-05,5.62E-05,6.47E-05,7.34E-05,7.66E-05,7.78E-05,7.87E-05,7.93E-05,7.94E-05,7.93E-05,7.80E-05,7.75E-05,7.65E-05,7.37E-05,7.27E-05,6.98E-05,6.53E-05,6.06E-05,5.06E-05,4.40E-05,4.07E-05,3.23E-05,2.68E-05,2.40E-05,1.97E-05,1.68E-05,1.53E-05,1.35E-05,1.23E-05,1.10E-05,9.81E-06,4.60E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77556385,0
Fe-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38E-09,3.50E-08,1.93E-07,1.17E-06,3.31E-06,5.02E-06,6.52E-06,9.50E-06,1.18E-05,1.36E-05,1.46E-05,1.52E-05,1.55E-05,1.56E-05,1.57E-05,1.57E-05,1.58E-05,1.58E-05,1.59E-05,1.58E-05,1.58E-05,1.55E-05,1.50E-05,1.45E-05,1.37E-05,1.26E-05,1.14E-05,1.02E-05,9.19E-06,8.05E-06,6.99E-06,6.14E-06,5.40E-06,4.75E-06,4.27E-06,3.84E-06,3.53E-06,3.21E-06,2.97E-06,2.83E-06,2.71E-06,2.67E-06,2.37E-06,2.27E-06,2.16E-06,2.09E-06,2.02E-06,1.98E-06,1.87E-06,1.80E-06,1.73E-06,1.66E-06,1.60E-06,1.53E-06,1.47E-06,1.44E-06,1.37E-06,1.32E-06,1.28E-06,4.094779265,0
Cu-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03E-12,4.83E-11,4.63E-10,2.46E-09,1.04E-08,2.84E-08,6.35E-08,1.35E-07,2.38E-07,4.00E-07,5.27E-07,6.79E-07,7.93E-07,1.03E-06,1.11E-06,1.28E-06,1.34E-06,1.56E-06,1.64E-06,1.76E-06,1.81E-06,1.86E-06,1.90E-06,1.89E-06,1.82E-06,1.73E-06,1.57E-06,1.39E-06,1.25E-06,1.14E-06,1.00E-06,8.90E-07,7.91E-07,7.24E-07,6.40E-07,5.20E-07,2.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150762788,0
Ti-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78E-11,7.16E-09,6.27E-08,3.55E-07,7.50E-07,2.46E-06,5.04E-06,8.53E-06,1.27E-05,1.69E-05,2.40E-05,2.64E-05,3.57E-05,3.88E-05,4.98E-05,5.35E-05,6.48E-05,6.85E-05,7.63E-05,7.89E-05,8.27E-05,8.27E-05,8.08E-05,8.01E-05,7.53E-05,7.37E-05,6.84E-05,6.48E-05,6.12E-05,5.95E-05,5.46E-05,5.30E-05,5.01E-05,4.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.362395803,0
Na-23,0,0.118292558,0.092572442,0.072444631,0.058047995,0.046596237,0.036464924,0.02921837,0.023454092,0.018354481,0.014706904,0.011805427,0.009238503,0.007229682,0.005792853,0.004649992,0.003638954,0.002915825,0.002391536,0.001840835,0.001440832,0.00115452,0.000926752,0.000725318,0.000581224,0.000465285,0.000363623,0.000291129,0.000233674,0.000168312,0.000118695,9.33E-05,7.53E-05,6.02E-05,4.91E-05,4.06E-05,3.42E-05,2.98E-05,2.74E-05,2.90E-05,4.18E-05,0.000203139,0.000635029,1.40E-05,0.000114692,3.94E-07,1.42E-07,0.00061729,1.95E-05,1.59E-07,0.000217291,8.05E-05,4.58E-05,2.85E-06,1.47E-06,1.07E-06,9.72E-07,9.18E-07,8.63E-07,8.21E-07,8.01E-07,7.84E-07,7.88E-07,7.96E-07,8.04E-07,8.11E-07,8.18E-07,8.24E-07,8.31E-07,8.38E-07,8.44E-07,8.52E-07,8.59E-07,8.65E-07,8.72E-07,8.78E-07,8.96E-07,9.23E-07,9.47E-07,9.80E-07,1.02E-06,1.06E-06,1.11E-06,1.13E-06,1.14E-06,1.15E-06,1.15E-06,1.16E-06,1.17E-06,1.18E-06,1.18E-06,1.19E-06,1.20E-06,1.20E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.1538848,0
Co-59,0,0.001561015,0.001221607,0.000955999,0.000766016,0.000614896,0.000481201,0.000385574,0.000309508,0.000242213,0.00019408,0.000155792,0.00012192,9.54E-05,7.65E-05,6.14E-05,4.80E-05,3.85E-05,3.16E-05,2.43E-05,1.90E-05,1.53E-05,1.23E-05,9.60E-06,7.71E-06,6.21E-06,4.89E-06,3.95E-06,3.19E-06,2.32E-06,1.78E-06,1.58E-06,1.53E-06,1.81E-06,4.16E-06,0.000179066,2.61E-06,2.12E-07,6.90E-08,3.69E-08,4.72E-07,5.11E-07,1.88E-06,9.70E-07,8.56E-07,2.72E-07,1.68E-07,1.13E-07,5.90E-08,5.23E-08,1.53E-08,9.89E-09,7.87E-09,6.54E-09,5.76E-09,5.44E-09,3.26E-09,2.35E-09,1.66E-09,1.07E-09,7.50E-10,6.30E-10,5.66E-10,5.42E-10,5.34E-10,5.38E-10,5.46E-10,5.64E-10,5.90E-10,6.27E-10,6.80E-10,7.19E-10,7.59E-10,7.95E-10,8.39E-10,8.87E-10,9.31E-10,9.66E-10,1.00E-09,1.04E-09,1.06E-09,1.07E-09,1.05E-09,1.00E-09,9.28E-10,8.35E-10,7.38E-10,6.50E-10,5.77E-10,5.31E-10,4.78E-10,4.31E-10,3.84E-10,3.55E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48825189,0
